Performance Statistics   2020-07-22 09:44:00 - 2020-07-22 09:46:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
sec$User.browse#create                                   6,0           6           6         0,0           1
sec$User.browse#init                                    73,0          73          73         0,0           1
sec$User.browse#inject                                  13,0          13          13         0,0           1
sec$User.browse#load                                   113,0         113         113         0,0           1
sec$User.browse#uiPermissions                            0,0           0           0         0,0           1
sec$User.browse#xml                                      3,5           1           6         2,5           2
sec$User.browse.lookupWindowActions#init                 0,0           0           0         0,0           1
sec$User.browse@usersDs                                 31,0          31          31         0,0           1
sec$User.edit#afterShow                                  0,0           0           0         0,0           1
sec$User.edit#beforeShow                                 9,0           9           9         0,0           1
sec$User.edit#companion                                  1,0           1           1         0,0           1
sec$User.edit#create                                     7,0           7           7         0,0           1
sec$User.edit#init                                     455,0         455         455         0,0           1
sec$User.edit#inject                                    16,0          16          16         0,0           1
sec$User.edit#load                                     361,0         361         361         0,0           1
sec$User.edit#uiPermissions                              0,0           0           0         0,0           1
sec$User.edit#xml                                        0,2           0           1         0,4           5
sec$User.edit.windowActions#init                         0,0           0           0         0,0           1
sec$User.edit.windowActions#inject                       1,0           1           1         0,0           1
sec$User.edit.windowActions#load                         0,0           0           0         0,0           1
specificTabFrame#create                                 20,0          20          20         0,0           1
specificTabFrame#xml                                     0,5           0           1         0,5           2
sysInfoWindow#afterShow                                  0,0           0           0         0,0           1
sysInfoWindow#beforeShow                                 6,0           6           6         0,0           1
sysInfoWindow#companion                                  2,0           2           2         0,0           1
sysInfoWindow#create                                    47,0          47          47         0,0           1
sysInfoWindow#init                                      12,0          12          12         0,0           1
sysInfoWindow#inject                                     8,0           8           8         0,0           1
sysInfoWindow#load                                      20,0          20          20         0,0           1
sysInfoWindow#uiPermissions                              0,0           0           0         0,0           1
sysInfoWindow#xml                                        0,2           0           1         0,4           5
uiTabFrame#create                                      137,0         137         137         0,0           1
uiTabFrame#xml                                           3,0           0           6         3,0           2

Performance Statistics   2020-07-22 09:56:00 - 2020-07-22 09:58:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
extendedEditWindowActions#create                         8,0           8           8         0,0           2
extendedEditWindowActions#xml                            0,0           0           0         0,0           4
screensTabFrame#create                                  27,0          22          32         5,0           2
screensTabFrame#xml                                      0,0           0           0         0,0           4
sec$Role.edit#afterShow                                  0,0           0           0         0,0           2
sec$Role.edit#beforeShow                                 1,0           1           1         0,0           2
sec$Role.edit#companion                                  0,3           0           1         0,4           4
sec$Role.edit#create                                     3,5           3           4         0,5           2
sec$Role.edit#init                                       0,0           0           0         0,0           2
sec$Role.edit#inject                                     0,0           0           0         0,0           2
sec$Role.edit#load                                     205,0         202         208         3,0           2
sec$Role.edit#uiPermissions                              0,0           0           0         0,0           2
sec$Role.edit#xml                                        0,2           0           1         0,4          10
sec$Role.edit.attributesTabFrame@propertyPermissionsDs        12,0          12          12         0,0           1
sec$Role.edit.entitiesTabFrame@entityPermissionsDs        24,0          24          24         0,0           1
sec$Role.edit.screensTabFrame#init                       0,5           0           1         0,5           2
sec$Role.edit.screensTabFrame#inject                     0,0           0           0         0,0           2
sec$Role.edit.screensTabFrame#load                       3,5           3           4         0,5           2
sec$Role.edit.screensTabFrame@screenPermissionsDs        12,3          11          14         1,2           3
sec$Role.edit.screensTabFrame@screenPermissionsTreeDs         0,0           0           0         0,0           2
sec$Role.edit.specificTabFrame#init                     16,0          16          16         0,0           2
sec$Role.edit.specificTabFrame#inject                    0,0           0           0         0,0           2
sec$Role.edit.specificTabFrame#load                      4,0           2           6         2,0           2
sec$Role.edit.specificTabFrame@specificPermissionsDs        13,7          13          14         0,5           3
sec$Role.edit.specificTabFrame@specificPermissionsTreeDs         0,0           0           0         0,0           2
sec$Role.edit.uiTabFrame@uiPermissionsDs                20,0          20          20         0,0           1
sec$Role.edit.windowActions#init                         0,0           0           0         0,0           2
sec$Role.edit.windowActions#inject                       0,0           0           0         0,0           2
sec$Role.edit.windowActions#load                         0,0           0           0         0,0           2
specificTabFrame#create                                 21,0          20          22         1,0           2
specificTabFrame#xml                                     0,5           0           2         0,9           4

Performance Statistics   2020-07-22 09:58:00 - 2020-07-22 10:00:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
extendedEditWindowActions#create                         5,0           5           5         0,0           1
extendedEditWindowActions#xml                            0,0           0           0         0,0           2
screensTabFrame#create                                  20,0          20          20         0,0           1
screensTabFrame#xml                                      0,0           0           0         0,0           2
sec$Role.edit#afterShow                                  0,0           0           0         0,0           1
sec$Role.edit#beforeShow                                 0,0           0           0         0,0           1
